name,servings,calories,water_g,protein_g,carbs_g,sugar_g,fiber_g,fat_g,timestamp
apple,1,1,156.0,0.43,25.1,18.9,4.37,0.3
banana,2,1,306.0,2.6300000000000003,70.7,43.3,9.57,0.8999999999999999
carrot,4,3,658.0,6.23,109.1,62.099999999999994,20.77,1.7
apple,1,94.6,156.0,0.43,25.1,18.9,4.37,0.3
apple,1,94.6,156.0,0.43,25.1,18.9,4.37,0.3
apple,1,94.6,156.0,0.43,25.1,18.9,4.37,0.3
banana,1,183.6,231.0,1.53,47.900000000000006,31.099999999999998,6.970000000000001,0.6
carrot,1,224.6,319.0,2.43,57.50000000000001,35.8,9.77,0.8
apple,1,94.6,156.0,0.43,25.1,18.9,4.37,0.3
apple,1,94.6,156.0,0.43,25.1,18.9,4.37,0.3
apple,1,94.6,156.0,0.43,25.1,18.9,4.37,0.3
banana,1,183.6,231.0,1.53,47.900000000000006,31.099999999999998,6.970000000000001,0.6
